[11/May/2019 06:55:28] INFO [django.utils.autoreload:576] Watching for file changes with StatReloader
[11/May/2019 06:55:28] DEBUG [django.utils.autoreload:267] Waiting for apps ready_event.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:278] Apps ready_event triggered. Sending autoreload_started signal.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/youtube project/youtubeService/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/admin/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/auth/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/messages/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/youtube project/youtubeService/page404/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/youtube project/youtubeService/logAuthentication/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/youtube project/youtubeService/account_auth/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:226] Watching dir /home/amin/Desktop/youtube project/youtubeService/main/locale with glob **/*.mo.
[11/May/2019 06:55:29] DEBUG [django.db.backends:110] (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
[11/May/2019 06:55:29] DEBUG [django.db.backends:110] (0.000) SELECT "django_migrations"."app", "django_migrations"."name" FROM "django_migrations"; args=()
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/postprocessor/metadatafromtitle.py first seen with mtime 1557452378.9682555
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/email/mime/message.py first seen with mtime 1530192454.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/db/migrations/operations/base.py first seen with mtime 1557533264.7654848
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/mgtv.py first seen with mtime 1557452378.9002547
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/njpwworld.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/youtube project/youtubeService/main/views.py first seen with mtime 1557547943.7490544
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/youtube.py first seen with mtime 1557452378.9602556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/certifi/__init__.py first seen with mtime 1549044409.9068334
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/tokenize.py first seen with mtime 1530192447.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/netzkino.py first seen with mtime 1557452378.9642556
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/db/models/indexes.py first seen with mtime 1557533264.769485
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1555553169.8453424
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/forms/boundfield.py first seen with mtime 1557533264.773485
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/core/paginator.py first seen with mtime 1557533264.7494845
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/distutils/fancy_getopt.py first seen with mtime 1530192456.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/drtuber.py first seen with mtime 1557452378.904255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/camwithher.py first seen with mtime 1557452378.9442554
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/core/checks/urls.py first seen with mtime 1557533264.7534847
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/eitb.py first seen with mtime 1557452378.9082549
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/nytimes.py first seen with mtime 1557452378.8882546
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/xml/etree/ElementPath.py first seen with mtime 1530192456.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/postprocessor/common.py first seen with mtime 1557452378.9682555
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/distutils/__init__.py first seen with mtime 1530192456.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/sixplay.py first seen with mtime 1557452378.928255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/awaan.py first seen with mtime 1557452378.912255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/messages/__init__.py first seen with mtime 1557533264.6854832
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/bitchute.py first seen with mtime 1557452378.9242551
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/canalc2.py first seen with mtime 1557452378.9322553
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/messages/middleware.py first seen with mtime 1557533264.6854832
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/ntvde.py first seen with mtime 1557452378.928255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/dctp.py first seen with mtime 1557452378.9362552
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/adobeconnect.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/dw.py first seen with mtime 1557452378.8882546
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1555553169.8453424
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/cwtv.py first seen with mtime 1557452378.9002547
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/aes.py first seen with mtime 1557452378.8842547
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/chardet/compat.py first seen with mtime 1549044408.6908321
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/statistics.py first seen with mtime 1530192447.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/db/models/fields/reverse_related.py first seen with mtime 1557533264.769485
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/staticfiles/management/commands/runserver.py first seen with mtime 1557533264.7494845
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/email/encoders.py first seen with mtime 1530192454.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/vzaar.py first seen with mtime 1557452378.920255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/apps/registry.py first seen with mtime 1557533264.4454787
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/jsinterp.py first seen with mtime 1557452378.8882546
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/platform.py first seen with mtime 1530192447.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/googlesearch.py first seen with mtime 1557452378.916255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/admin/templatetags/base.py first seen with mtime 1557533264.5574808
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/sprout.py first seen with mtime 1557452378.9402552
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/wsj.py first seen with mtime 1557452378.928255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/xvideos.py first seen with mtime 1557452378.8922548
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/anaconda3/lib/python3.7/lib-dynload/_ssl.cpython-37m-x86_64-linux-gnu.so first seen with mtime 1530192563.0
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/chardet/eucjpprober.py first seen with mtime 1549044408.694832
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/contrib/admin/views/main.py first seen with mtime 1557533264.5574808
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/youtube_dl/extractor/telegraaf.py first seen with mtime 1557452378.928255
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/urllib3/exceptions.py first seen with mtime 1549044408.486832
[11/May/2019 06:55:29] DEBUG [django.utils.autoreload:329] File /home/amin/Desktop/django/lib/python3.7/site-packages/django/db/backends/ddl_references.py first seen with mtime 1557533264.7574847
